name,salary,minutes.played,hourly.wage
Willie White,85000.0,577.0,147.31
Isaiah Whitehead,2386756.0,1823.0,1309.25
Jerome Whitehead,1455000.0,11828.0,123.01
Donald Whiteside,492250.0,275.0,1790.0
Hassan Whiteside,74570380.0,10569.0,7055.58
Chris Whitney,14192900.0,10052.0,1411.95
Shayne Whittington,1352395.0,149.0,9076.48
Andrew Wiggins,50317492.0,16001.0,3144.65
Mitchell Wiggins,955000.0,8105.0,117.83
C.J. Wilcox,3479120.0,376.0,9252.98
Chris Wilcox,38864580.0,12474.0,3115.65
Jacob Wiley,0.0,33.0,0.0
Morlon Wiley,1137000.0,3843.0,295.86
Jamaal Wilkes,935000.0,27275.0,34.28
Damien Wilkins,19020053.0,10991.0,1730.51
Dominique Wilkins,23687500.0,38113.0,621.51
Eddie Lee Wilkins,1330000.0,3787.0,351.2
Gerald Wilkins,16019866.0,26084.0,614.16
Jeff Wilkins,214500.0,10004.0,21.44
Dale Wilkinson,70000.0,45.0,1555.56
Mike Wilks,5081271.0,2240.0,2268.42
Aaron Williams,23649257.0,12000.0,1970.77
Alan Williams,6988921.0,872.0,8014.82
Alvin Williams,41720992.0,12610.0,3308.56
Brandon Williams,322676.0,163.0,1979.61
Buck Williams,26452000.0,42464.0,622.93
C.J. Williams,375000.0,835.0,449.1
Corey Williams,200000.0,288.0,694.44
Deron Williams,152047976.0,28865.0,5267.56
Derrick Williams,30882096.0,8864.0,3483.99
Elliot Williams,4647474.0,1470.0,3161.55
Eric Williams,39835520.0,15731.0,2532.29
Frank Williams,2685000.0,952.0,2820.38
Gus Williams,1520000.0,25645.0,59.27
Herb Williams,11478000.0,28484.0,402.96
Hot Rod Williams,38269055.0,26327.0,1453.6
Jason Williams,55663447.0,23188.0,2400.53
Jawad Williams,1302535.0,1153.0,1129.69
Jay Williams,8713351.0,1961.0,4443.32
Jayson Williams,63050000.0,9805.0,6430.39
Jerome Williams,51077543.0,12755.0,4004.51
John Williams,5033000.0,10952.0,459.55
Johnathan Williams,0.0,507.0,0.0
Jordan Williams,1235799.0,635.0,1946.14
Justin Williams,1124180.0,456.0,2465.31
Kenny Williams,1150000.0,2918.0,394.11
Kenrich Williams,838464.0,1858.0,451.27
Kevin Williams,275000.0,2947.0,93.32
Lorenzo Williams,12629000.0,5535.0,2281.66
Lou Williams,66208319.0,24611.0,2690.19
Marcus Williams,4395789.0,3095.0,1420.29
Marcus Williams,12890.0,39.0,330.51
Marvin Williams,109166793.0,29886.0,3652.77
Matt Williams,0.0,11.0,0.0
Micheal Williams,17550000.0,10403.0,1687.01
Mo Williams,67611931.0,23872.0,2832.27
Monty Williams,7945785.0,7624.0,1042.21
Pete Williams,70000.0,583.0,120.07
Reggie Williams,9536500.0,16013.0,595.55
Reggie Williams,7250382.0,3736.0,1940.68
Rob Williams,120000.0,3367.0,35.64
Robert Williams,1654440.0,552.0,2997.17
Scott Williams,30054000.0,12220.0,2459.41
Sean Williams,4568640.0,1978.0,2309.73
Shammond Williams,7301179.0,5351.0,1364.45
Shawne Williams,14540342.0,5368.0,2708.71
Shelden Williams,12256869.0,5586.0,2194.21
Sly Williams,900000.0,6617.0,136.01
Terrence Williams,6940336.0,2922.0,2375.2
Travis Williams,242000.0,427.0,566.74
Troy Williams,2724540.0,1176.0,2316.79
Walt Williams,28423500.0,18818.0,1510.44
Corliss Williamson,42673520.0,18749.0,2276.04
Kevin Willis,31565500.0,38362.0,822.83
Dedric Willoughby,134956.0,508.0,265.66
D.J. Wilson,4669320.0,1196.0,3904.11
Jamil Wilson,50000.0,274.0,182.48
Ricky Wilson,75000.0,420.0,178.57
Trevor Wilson,650000.0,1609.0,403.98
Kennard Winchester,380000.0,1028.0,369.65
David Wingate,7035666.0,13243.0,531.27
Dontonio Wingfield,1475000.0,1146.0,1287.09
Justise Winslow,11229126.0,6848.0,1639.77
Trevor Winter,292029.0,5.0,58405.8
Voise Winters,70000.0,17.0,4117.65
Jeff Withey,4356774.0,2072.0,2102.69
Randy Wittman,2470000.0,11594.0,213.04
Joe Wolf,4694041.0,9636.0,487.14
Rubén Wolkowyski,1449789.0,329.0,4406.65
Nate Wolters,962538.0,1575.0,611.14
Al Wood,1400000.0,9939.0,140.86
Christian Wood,2693026.0,1574.0,1710.94
David Wood,1910500.0,5551.0,344.17
Leon Wood,543000.0,4531.0,119.84
Loren Woods,3468931.0,2428.0,1428.72
Qyntel Woods,3761114.0,2060.0,1825.78
Randy Woods,2450000.0,1093.0,2241.54
Mike Woodson,2258000.0,20021.0,112.78
Orlando Woolridge,9829000.0,24041.0,408.84
Haywoode Workman,6880000.0,7202.0,955.29
Metta World Peace,77053906.0,31440.0,2450.82
James Worthy,11850000.0,30001.0,394.99
Antoine Wright,9616110.0,5714.0,1682.9
Bracey Wright,1062971.0,325.0,3270.68
Brandan Wright,37760133.0,6949.0,5433.89
Chris Wright,573604.0,312.0,1838.47
Delon Wright,7268738.0,4976.0,1460.76
Dorell Wright,28716258.0,12280.0,2338.46
Howard Wright,5000.0,174.0,28.74
Julian Wright,8466857.0,3049.0,2776.93
Lorenzen Wright,55216995.0,18535.0,2979.07
Luther Wright,1495000.0,92.0,16250.0
Sharone Wright,15120000.0,4531.0,3337.01
Tony Wroten,5852000.0,3076.0,1902.47
A.J. Wynder,300000.0,39.0,7692.31
Guerschon Yabusele,4915080.0,486.0,10113.33
Vincent Yarbrough,349458.0,1381.0,253.05
Danny Young,1522500.0,9536.0,159.66
James Young,5249520.0,812.0,6464.93
Joe Young,3523724.0,1077.0,3271.8
Korleone Young,287500.0,15.0,19166.67
Nick Young,39002879.0,16419.0,2375.47
Sam Young,3381716.0,3966.0,852.68
Thaddeus Young,96497787.0,29083.0,3318.01
Tim Young,301875.0,137.0,2203.47
Trae Young,5356440.0,4343.0,1233.35
Sun Yue,442114.0,28.0,15789.79
Cody Zeller,43522473.0,9472.0,4594.86
Luke Zeller,473604.0,58.0,8165.59
Tyler Zeller,17397992.0,7250.0,2399.72
Wang Zhizhi,5731839.0,1256.0,4563.57
George Zídek,2081200.0,1328.0,1567.17
Stephen Zimmerman,950000.0,108.0,8796.3
Paul Zipser,2062611.0,1667.0,1237.32
Ante Žižić,3597960.0,1464.0,2457.62
Ivica Zubac,3892518.0,3059.0,1272.48
